,Device_name,Company,Price,Body_location,Components,Power,Connectivity,Compatibility,Primary_Application
0,4D Force,4D Force,,Worn on the Head,"EEG Sensor,EMG Sensor,EOG Sensor",Rechargeable Battery,Undisclosed,Undisclosed,"Gaming, Entertainment & Medical"
1,Viiiiva,4iiii,79.99,Worn on the Chest,Heart Rate Monitor,Disposable Battery,ANT+,iOS,Fitness
2,"IPCS ID-Badge, uTag, Asset Tag",9Solutions,"3,350.00",Worn on the Body (Anywhere),"Accelerometer,Button Interface,Buzzer",Rechargeable Battery,Zigbee,Windows,Medical & Industrial
3,MiCoach Fit Smart,Adidas,149.99,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Vibrator,LED Display,Button Interface,USB",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
4,MiCoach Heart Rate Monitor,Adidas,59.99,Worn on the Chest,Heart Rate Monitor,Disposable Battery,Bluetooth,Windows Mobile,Fitness
5,MiCoach Speed Cell,Adidas,69.99,Worn on the Feet,Accelerometer,Rechargeable Battery,Bluetooth,Windows,Fitness
6,MiCoach X_Cell,Adidas,69.99,Worn on the Chest,"Heart Rate Monitor,Accelerometer",Disposable Battery,Bluetooth,Android,Fitness
7,Smart Run,Adidas,399.00,Worn on the Wrist,"Heart Rate Monitor,LCD Display,GPS,Accelerometer,Clock,Touch Interface",Rechargeable Battery,WiFi,Windows,Fitness & Lifestyle
8,iTAG100 Intrinsically Safe Wi-Fi RFID Tag,Extronics,,Worn on the Body (Anywhere),"Motion Sensor,Accelerometer,Temperature Sensor,Button Interface,Thermometer",Disposable Battery,RFID,Undisclosed,Industrial & Medical
9,T2 Wi-Fi RFID Tag,Extronics,,Worn on the Body (Anywhere),"Motion Sensor,Temperature Sensor,Thermometer,Button Interface",Disposable Battery,RFID,Undisclosed,Industrial & Medical
10,T3 Advanced Wi-Fi Tag,Extronics,,Worn on the Body (Anywhere),"Motion Sensor,Temperature Sensor,Thermometer,Accelerometer,Button Interface,LED Indicator",Disposable Battery,RFID,Undisclosed,Industrial & Medical
11,Air Scouter,Brother Industries Ltd.,"1,966.00",Worn on the Head,DLP Display,Rechargeable Battery,HDMI,Android,Industrial
12,AmbyGear Smart Watch,Ambit Networks,99.00,Worn on the Wrist,"Accelerometer,Magnetometer,GPS,LED Display",Rechargeable Battery,Bluetooth,Android,Lifestyle & Entertainment
13,Apple Watch,Apple Inc.,299.00,Worn on the Wrist,"LCD Display,Touch Interface,Button Interface,Accelerometer,Heart Rate Monitor,Clock,Vibrator,Audio Speaker,GPS",Rechargeable Battery,NFC,iOS,Lifestyle & Fitness
14,Apple Watch Series 2,Apple Inc.,369.00,Worn on the Wrist,"Audio Speaker,Touch Interface,Accelerometer,Heart Rate Monitor",Rechargeable Battery,NFC,iOS,Fitness
15,AquaPulse,Finis,129.99,Worn on the Ear,"Infrared Sensor,Bone Conduction Speaker,Heart Rate Monitor,USB",Rechargeable Battery,,Undisclosed,Fitness & Medical
16,ZenWatch WI500Q,ASUS,199.00,Worn on the Wrist,"OLED Display,Touch Interface,Accelerometer,Gyroscope,Magnetometer,Microphone,Vibrator",Rechargeable Battery,Bluetooth,Android,Lifestyle
17,ZenWatch 2,ASUS,129.00,Worn on the Wrist,"Accelerometer,Gyroscope,Magnetometer,GPS,OLED Display,Vibrator",Rechargeable Battery,Bluetooth,iOS,Lifestyle
18,Air Glasses,Atheer Labs,"3,950.00",Worn on the Head,"Depth Camera,Photo Camera,Video Camera,Accelerometer,Ambient Light Sensor,Audio Jack,Audio Speaker,Barometer,Button Interface,Gesture Interface,GPS,Gyroscope,Magnetometer,Microphone,Vibrator",Rechargeable Battery,Cellular Network,Android,Industrial
19,Athos,"Mad Apparel, Inc.",298.00,"Worn on the Torso, Legs & Thighs","Accelerometer,Muscle Contraction Sensor,Heart Rate Monitor",Rechargeable Battery,Bluetooth,,Fitness
20,Atlas,Atlas Wearables,199.00,Worn on the Wrist,"OLED Display,Accelerometer,Ambient Light Sensor,Button Interface,Buzzer,Clock,Gesture Interface,Gyroscope,Heart Rate Monitor,Infrared Sensor,Pedometer,Touch Interface,Vibrator,USB",Rechargeable Battery,Bluetooth,Windows Mobile,Fitness & Lifestyle
21,Glyph,Avegant,499.00,Worn on the Head,"DLP Display,Audio Speaker,Button Interface,Accelerometer,Gyroscope,Magnetometer,USB",External Source,HDMI,Blackberry,Entertainment & Gaming
22,AWatch,Enjoy S.r.l.,299.00,Worn on the Wrist,"Accelerometer,Gyroscope,Magnetometer,GPS,Touch Interface,Audio Speaker,Vibrator,Button Interface",Rechargeable Battery,Cellular Network,Linux,Lifestyle
23,Q-Sight,BAE Systems,,Worn on the Head,LCD Display,External Source,Proprietary,Windows,Industrial
24,BalanSens,Biosensics LLC,"2,750.00",Worn on the Legs & Waist,"Accelerometer,Gyroscope",Rechargeable Battery,Bluetooth,Windows Mobile,Medical
25,B1,Basis,199.00,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Ambient Light Sensor,Thermometer,LCD Display,Button Interface,Temperature Sensor,USB",Rechargeable Battery,Bluetooth,Android,Fitness & Lifestyle
26,Peak,Basis,199.99,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Galvanometer,Thermometer,LCD Display,Clock,Touch Interface,Temperature Sensor",Rechargeable Battery,Bluetooth,Windows,Fitness & Lifestyle
27,Be Bionic,RSLSteeper,,Worn on the Arm,"EMG Sensor,Motor,USB",Rechargeable Battery,,,"Medical, Lifestyle & Industrial"
28,Bluetooth Gloves,BEARTek,95.00,Worn on the Hand,"Touch Interface,USB",Rechargeable Battery,Bluetooth,Windows Mobile,Lifestyle & Entertainment
29,Studio Wireless,Beats Electronics,349.00,Worn on the Head,"Audio Speaker,Microphone,Button Interface,USB",Rechargeable Battery,Bluetooth,OSX,Lifestyle
30,PowerBeats 2 Wireless,Beats Electronics,189.00,Worn on the Ear,"Button Interface,Audio Speaker,Microphone,USB",Rechargeable Battery,Bluetooth,iOS,Lifestyle
31,Leaf,Bellabeat,119.00,Worn on the Body (Anywhere),"Accelerometer,Vibrator",Disposable Battery,Bluetooth,Android,Fitness & Lifestyle
32,Bi-TAD,GEO Group Company,,Worn on the Ankle,,Rechargeable Battery,Radio Frequency,None,Lifestyle & Industrial
33,BIA Sports Watch,BIA,249.00,Worn on the Wrist,"Touch Interface,GPS,Accelerometer,Clock",Rechargeable Battery,WiFi,Undisclosed,"Lifestyle, Fitness & Industrial"
34,Bioharness 3,Zephyr,549.95,Worn on the Torso,"GPS,Accelerometer,Heart Rate Monitor,Respiratory Monitor,ECG Sensor,EKG Sensor",Rechargeable Battery,Bluetooth,OSX,Fitness
35,BioPatch,Zephyr,,Worn on the Body (Anywhere),"ECG Sensor,Accelerometer,Respiratory Monitor,EKG Sensor",Rechargeable Battery,Bluetooth,OSX,Fitness
36,Blocks Modular Watch,Blocks,330.00,Worn on the Wrist,"Gyroscope,Heart Rate Monitor,GPS,Humidity Sensor,Pressure Sensor,AMOLED Display,Thermometer,Temperature Sensor,Magnetometer",Rechargeable Battery,WiFi,iOS,Lifestyle & Fitness
37,BlueBuds X,JayBird,123.00,Worn on the Ear,"Microphone,Audio Speaker,Button Interface,USB",Rechargeable Battery,Bluetooth,Linux,Entertainment
38,Link,BodyMedia,119.00,Worn on the Arm,"Accelerometer,Thermometer,Ambient Light Sensor,Temperature Sensor",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
39,PressureTel,BodyTel,,Worn on the Arm,"Blood Pressure Meter,LCD Display,Button Interface",Disposable Battery,Bluetooth,Android,Medical
40,Bose Bluetooth Headset Series 2,Bose,149.00,Worn on the Ear,"Microphone,Audio Speaker,Button Interface",Rechargeable Battery,Bluetooth,Blackberry,Lifestyle
41,bPay Wristband,Barclaycard,25.00,Worn on the Wrist,,No Power Required,NFC,Android,Lifestyle
42,BPM Physio,270 Vision Ltd.,250.00,Worn on the Body (Anywhere),"Accelerometer,Barometer,Button Interface,Gesture Interface,Gyroscope,Magnetometer,Pedometer,Pressure Sensor",Rechargeable Battery,Bluetooth,iOS,Medical & Fitness
43,BSX Athletics,BSX Insight,299.00,Worn on the Legs,"Lactic Threshold Sensor,Oximeter,Heart Rate Monitor",Rechargeable Battery,ANT+,Windows,Fitness
44,BTS Surface EMG,BTS Bioengineering,,Worn on the Body,"Touch Interface,EMG Sensor",Rechargeable Battery,WiFi,Windows,Medical & Fitness
45,"D01, D02",Buhel,128.99,Worn on the Head,"Bone Conduction Speaker,Microphone",Rechargeable Battery,Bluetooth,Blackberry,Lifestyle
46,SG04,Buhel,155.00,Worn on the Head,"Audio Speaker,Perspiration Monitor,Bone Conduction Mic",Rechargeable Battery,Bluetooth,Blackberry,Fitness & Lifestyle
47,"G31, G33",Buhel,239.00,Worn on the Head,"Audio Speaker,Perspiration Monitor",Rechargeable Battery,Bluetooth,Blackberry,Fitness
48,Tempo,CarePredict,169.00,Worn on the Wrist,Accelerometer,Rechargeable Battery,WiFi,Windows,Lifestyle
49,G-Shock GB-6900,Casio,180.00,Worn on the Wrist,"Clock,LCD Display,Buzzer,Button Interface",Disposable Battery,Bluetooth,iOS,Lifestyle & Entertainment
50,WSD-F10,Casio,500.00,Worn on the Wrist,"Accelerometer,LCD Display,Monochrome Display,Pressure Sensor,Altimeter,Gyroscope,Magnetometer",Rechargeable Battery,WiFi,iOS,Lifestyle
51,CastAR,CastAR,900.00,Worn on the Head,"DLP Display,Gyroscope,USB",Rechargeable Battery,HDMI,Windows,Gaming & Entertainment
52,OptimEye S5,Catapult,300.00,Worn on the Legs & Feet,"Accelerometer,Magnetometer,Gyroscope,GPS,Heart Rate Monitor,USB",Rechargeable Battery,ANT+,iOS,Fitness & Medical
53,Elvie,Chiaro Technology Ltd,199.00,Worn on the Pelvis,Pressure Sensor,Rechargeable Battery,Bluetooth,Android,Fitness & Medical
54,SiME Smart Glasses,CHIPSIP,550.00,Worn on the Head,"Microphone,Camera,Gyroscope,Accelerometer,GPS,Infrared Camera,Video Camera,Voice Actions,Touch Interface,Magnetometer,USB",Rechargeable Battery,Bluetooth,Android,"Industrial, Gaming, Lifestyle, Medical & Entertainment"
55,Chrono,Chrono Therapeutics,,Worn on the Wrist,,Rechargeable Battery,Bluetooth,Windows Mobile,Medical
56,Cinemizer OLED,Carl Zeiss,,Worn on the Head,"OLED Display,Gyroscope,USB",Rechargeable Battery,HDMI,OSX,Gaming & Entertainment
57,Proximity AT7030-05E,Citizen,378.00,Worn on the Wrist,"Watch,Button Interface,Vibrator",Solar Power,Bluetooth,iOS,Lifestyle
58,Proximity AT7035-01E,Citizen,525.00,Worn on the Wrist,"Watch,Button Interface,Vibrator",Solar Power,Bluetooth,iOS,Lifestyle
59,Code4Armour,Code4Armour,68.00,Worn on the Wrist,,No Power Required,NFC,Linux,Medical
60,Pop,Cogito,149.00,Worn on the Wrist,"Accelerometer,Watch,Button Interface,LED Display",Disposable Battery,Bluetooth,Android,Lifestyle
61,Compass,Drift Innovation,129.00,"Worn on the Chest, Head & Torso","Photo Camera,Touch Interface,Video Camera",External Source,WiFi,iOS,Lifestyle
62,Cogito,ConnecteDevice Ltd.,179.95,Worn on the Wrist,"Clock,LCD Display,Button Interface",Disposable Battery,Bluetooth,iOS,Lifestyle
63,Cookoo,ConnecteDevice Ltd.,129.99,Worn on the Wrist,"Clock,LCD Display,Button Interface",Disposable Battery,Bluetooth,iOS,Lifestyle
64,HAL,Cyberdyne Inc,"¥2,686,000.00 JPY",Worn on the Legs & Body,Motor,Rechargeable Battery,Undisclosed,Undisclosed,Medical & Industrial
65,Cygnus,Tranzas Inc,,"Worn on the Wrist, Arm & Hand","Camera,Microphone,Touch Interface,Audio Speaker,USB",Rechargeable Battery,WiFi,Android,
66,DAQRI Smart Helmet,DAQRI LLC.,,Worn on the Head,"Depth Camera,Video Camera,Accelerometer,Gyroscope,Magnetometer",Rechargeable Battery,,,Industrial
67,Dash,BRAGI LLC.,179.00,Worn on the Ear,"Infrared Sensor,Thermometer,Bone Conduction Mic,Accelerometer,Touch Interface,LED Display,Audio Speaker,Oximeter,Heart Rate Monitor,Temperature Sensor",Rechargeable Battery,Bluetooth,Android,Fitness & Lifestyle
68,Deloitte Smart Helmet Clip,Deloitte,,Worn on the Head,"Carbon Monoxide Sensor (CO),Carbon Dioxide Sensor (CO2),Methane Sensor (CH4),Nitrogen Oxides Sensor (NOx),Accelerometer,Gyroscope,Thermometer,Humidity Sensor,Photo Camera,GPS,Temperature Sensor,Magnetometer",Wireless Charging,Bluetooth,,Industrial
69,Smartshoe,DigitSole,,Worn on the Feet,Pedometer,Rechargeable Battery,Bluetooth,iOS,Lifestyle
70,DorsaVi,DorsaVi,,"Worn on the Shoulders, Legs, Back & Thighs",,Rechargeable Battery,WiFi,OSX,Medical & Fitness
71,Duo Fertility,Cambridge Temperature Concepts Ltd,899.00,Worn on the Torso,,Rechargeable Battery,Proprietary,OSX,Medical
72,EagleView,Tekinno,"2,450.00","Worn on the Arm, Hand & Wrist",LED Display,Rechargeable Battery,Zigbee,,Industrial
73,EasyWakeMe,Dreamtrap™ Commercials LTD,118.00,Worn on the Wrist & Ankle,,Rechargeable Battery,Bluetooth,Blackberry,Fitness
74,Ekso,Esko Bionics,,Worn on the Body,Motor,Rechargeable Battery,Undisclosed,Undisclosed,"Medical, Fitness & Industrial"
75,Move,Electric Foxy,,Worn on the Torso,Textile Strain Sensor,,WiFi,iOS,Fitness & Lifestyle
76,Elemoon,Elemoon,399.00,Worn on the Wrist,LED Display,Rechargeable Battery,Bluetooth,iOS,Lifestyle
77,eLocator Checkpoint,S3ID,,Worn on the Waist,GPS,Rechargeable Battery,Ultra Wide Band,Undisclosed,Industrial
78,EMOTIV Insight,Emotiv Inc,299.00,Worn on the Head,EEG Sensor,Rechargeable Battery,Bluetooth,Linux,Medical & Gaming
79,E4 Wristband,Empatica,"1,690.00",Worn on the Wrist,"Accelerometer,Clock,Heart Rate Monitor,Thermometer,PPG Sensor,EDA Sensor,Temperature Sensor",Rechargeable Battery,Bluetooth,iOS,Lifestyle & Medical
80,Embrace Watch,Empatica,249.00,Worn on the Wrist,"Accelerometer,Gyroscope,Vibrator,Thermometer,Temperature Sensor",Rechargeable Battery,Bluetooth,iOS,Lifestyle & Medical
81,EPOC Neuroheadset,Emotiv,799.00,Worn on the Head,"Gyroscope,EEG Sensor,USB",External Source,Bluetooth,iOS,"Lifestyle, Entertainment & Gaming"
82,Moverio Pro BT-2000,Epson,"2,999.99",Worn on the Head,"Video Camera,Touch Interface,GPS,Voice Interface",Rechargeable Battery,WiFi,,Industrial
83,PS-500,Epson,199.00,Worn on the Wrist,"LCD Display,Heart Rate Monitor,Clock,Button Interface",Rechargeable Battery,Bluetooth,Windows,"Lifestyle, Medical & Fitness"
84,PS-100,Epson,129.00,Worn on the Wrist,"LED Display,Button Interface,Heart Rate Monitor",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
85,EQ02 LifeMonitor,Equivital,,Worn on the Chest & Torso,"Accelerometer,Button Interface,Clock,ECG Sensor,Heart Rate Monitor,Infrared Sensor,LED Display,Pedometer,Respiratory Monitor,Thermometer,Touch Interface,Ingestible Core Pill Interface,GPS,PPG Sensor,Temperature Sensor,EKG Sensor,USB",Rechargeable Battery,Proprietary,SatComms,Medical
86,Esight Eyewear,Esight Corporation,,Worn on the Head,"OLED Display,Button Interface",Rechargeable Battery,,,Medical
87,Evena Eyes On,Evena Medical,"14,000.00",Worn on the Head,"Audio Speaker,Button Interface,Infrared Camera,Infrared Sensor,LED Display,Microphone,Photo Camera,Touch Interface,Video Camera,USB",Rechargeable Battery,WiFi,Windows,Medical
88,Zazzi,FashionTEQ,249.00,"Worn on the Wrist, Fingers & Neck",E-Paper Display,Rechargeable Battery,Bluetooth,iOS,Lifestyle
89,DominatorHD,Fat Shark,259.99,Worn on the Head,"Accelerometer,Gyroscope,Magnetometer,LCD Display",Disposable Battery,HDMI,Windows,Entertainment
90,Readiband,Fatigue Science,,Worn on the Wrist,"Accelerometer,Vibrator",Rechargeable Battery,Bluetooth,Android,"Medical, Industrial & Fitness"
91,Filip,Filip,199.99,Worn on the Wrist,"Button Interface,LCD Display,Clock",Rechargeable Battery,WiFi,Android,Lifestyle
92,Tracker,FitBark,99.00,Worn on the Neck,Accelerometer,Rechargeable Battery,Bluetooth,Android,Pets Animals
93,Fitbit Alta,Fitbit,127.99,Worn on the Wrist,"Accelerometer,OLED Display",Rechargeable Battery,Bluetooth,Windows Mobile,Fitness & Lifestyle
94,Blaze,Fitbit,199.95,Worn on the Wrist,"Accelerometer,Heart Rate Monitor,Altimeter,Ambient Light Sensor,Vibrator,LCD Display",Rechargeable Battery,Bluetooth,iOS,Lifestyle
95,Charge,Fitbit,129.95,Worn on the Wrist,"Accelerometer,OLED Display,Vibrator,Clock,Button Interface",Rechargeable Battery,Bluetooth,Windows,Fitness & Lifestyle
96,Charge HR,Fitbit,149.95,Worn on the Wrist,"Heart Rate Monitor,OLED Display,Button Interface,Accelerometer,Clock,Vibrator",Rechargeable Battery,Bluetooth,OSX,Fitness & Lifestyle
97,Flex,Fitbit,99.95,Worn on the Wrist,"Accelerometer,LED Display,Vibrator",Rechargeable Battery,Bluetooth,Windows,Fitness & Lifestyle
98,Fitbit One,Fitbit,99.95,Worn on the Wrist & Body (Anywhere),"OLED Display,Clock,Accelerometer,Vibrator,Altimeter,Button Interface",Rechargeable Battery,WiFi,iOS,Fitness & Lifestyle
99,Surge,Fitbit,249.95,Worn on the Wrist,"GPS,Heart Rate Monitor,Accelerometer,Clock,Button Interface,Vibrator,Gyroscope,Magnetometer,Altimeter,Ambient Light Sensor,Backlight,Touch Interface,LCD Display",Rechargeable Battery,Bluetooth,Windows,Lifestyle & Fitness
100,Fitbit Zip,Fitbit,69.95,Worn on the Body (Anywhere),Accelerometer,Disposable Battery,Bluetooth,OSX,Fitness
101,Orb,Fitbug,49.95,Worn on the Wrist & Body (Anywhere),,Disposable Battery,Bluetooth,iOS,Fitness & Medical
102,FitGuard,Force Impact Technologies,50.00,Worn on the Head,Accelerometer,Rechargeable Battery,Bluetooth,iOS,Medical & Lifestyle
103,AmpStrip,FitLinxx,149.95,Worn on the Torso,"ECG Sensor,Accelerometer,Thermometer,Temperature Sensor,EKG Sensor",Rechargeable Battery,Bluetooth,Android,Fitness
104,Free Wavz,Free Wavz,219.00,Worn on the Ear,"Heart Rate Monitor,Audio Speaker,Button Interface,Accelerometer,Oximeter,Microphone,Voice Interface",Rechargeable Battery,Bluetooth,Android,Fitness
105,Fun'iki Ambient Glasses,Japanese Institute of Advanced Media Arts and Sciences (IAMAS) and Paris Miki Holdings Inc,"¥27,000.00 JPY",Worn on the Head,"Accelerometer,Ambient Light Sensor,Audio Speaker,USB",Rechargeable Battery,Bluetooth,Blackberry,Lifestyle
106,Game Golf,Active Mind Technology,249.00,Worn on the Waist,"GPS,USB",Rechargeable Battery,,OSX,Lifestyle
107,Gameband Minecraft,Gameband Minecraft,79.99,Worn on the Wrist,"Clock,LED Display,USB",Rechargeable Battery,,OSX,Gaming & Entertainment
108,Approach S3,Garmin,269.99,Worn on the Wrist,"GPS,LCD Display,Clock,Touch Interface,Button Interface,USB",Rechargeable Battery,,Windows,Fitness
109,Approach S6,Garmin Corp,399.00,Worn on the Wrist,"GPS,Accelerometer,Touch Interface,Button Interface,Clock,USB",Rechargeable Battery,Bluetooth,Android,Entertainment
110,Garmin Astro 320 + T5,Garmin,599.99,Worn on the Body (Anywhere),"GPS,LCD Display,Button Interface,Barometer,Altimeter,Magnetometer,Water Resistant,USB",Rechargeable Battery,,OSX,Pets Animals
111,Forerunner 15,Garmin,140.00,Worn on the Wrist,"GPS,Button Interface,USB",Rechargeable Battery,,OSX,Fitness
112,Forerunner 220,Garmin,293.00,Worn on the Wrist,"Button Interface,GPS,Motor,Accelerometer,Backlight,USB",Rechargeable Battery,ANT+,Windows,Fitness
113,Forerunner 620,Garmin,379.00,Worn on the Wrist,"Accelerometer,Heart Rate Monitor,Backlight,Clock,Button Interface,Touch Interface,Vibrator",Rechargeable Battery,Bluetooth,iOS,Fitness
114,Forerunner 910XT,Garmin,449.99,Worn on the Wrist,"GPS,LCD Display,Clock,Button Interface",Rechargeable Battery,ANT+,Windows,Fitness
115,Forerunner 920XT,Garmin,495.00,Worn on the Wrist,"Button Interface,GPS,Altimeter,Metronome,Vibrator,Clock,LCD Display,USB",Rechargeable Battery,ANT+,OSX,Fitness & Lifestyle
116,Garmin Swim,Garmin,150.00,Worn on the Wrist,"Accelerometer,Clock,Button Interface,Buzzer",Disposable Battery,ANT+,Linux,Lifestyle & Fitness
117,Vivoactive,Garmin,250.00,Worn on the Wrist,"Vibrator,Clock,Touch Interface,GPS,LCD Display,Backlight,Button Interface",Rechargeable Battery,ANT+,Android,Fitness & Lifestyle
118,Vivo,Garmin,179.99,Worn on the Wrist,"Accelerometer,Heart Rate Monitor",Disposable Battery,ANT+,Windows,Lifestyle & Fitness
119,Garmin Vivomove,Garmin,149.99,Worn on the Wrist,Accelerometer,CR2025 Coin Cell,Bluetooth,Windows Mobile,Fitness & Lifestyle
120,Vivosmart,Garmin,149.99,Worn on the Wrist,"Vibrator,OLED Display,Watch,Accelerometer,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
121,Vivosmart HR,Garmin,149.99,Worn on the Wrist,"Vibrator,LCD Display,Clock,Accelerometer,Altimeter,Touch Interface,Heart Rate Monitor,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
122,Classic,Geodog,446.50,Worn on the Neck,"GPS,USB",Rechargeable Battery,Cellular Network,Blackberry,Pets Animals
123,iBitz,Geopalz,49.99,Worn on the Feet & Waist,Accelerometer,Disposable Battery,Bluetooth,iOS,Fitness & Medical
124,Glance,Kiwi Wearables,80.00,Worn on the Wrist,"OLED Display,Accelerometer,Gyroscope,Magnetometer,Barometer,Vibrator",Rechargeable Battery,Bluetooth,Android,Lifestyle
125,Uno,GlassUp,399.00,Worn on the Head,"Accelerometer,Magnetometer,Ambient Light Sensor",Rechargeable Battery,Bluetooth,Windows Mobile,Industrial
126,R Jacket,Glofaster,240.00,Worn on the Torso,LED Indicator,Rechargeable Battery,Bluetooth,,Fitness
127,GoBe,HealBe,149.00,Worn on the Wrist,"Accelerometer,Skin Impedance Sensor,Oximeter",Rechargeable Battery,Bluetooth,OSX,Fitness & Lifestyle
128,Gen 3.8,Golden-i,,Worn on the Head,USB,Rechargeable Battery,WiFi,Gi-OS,Industrial
129,Glass,Google [x],"1,500.00",Worn on the Head,"Accelerometer,Clock,Bone Conduction Speaker,DLP Display,GPS,Gyroscope,Microphone,Photo Camera,Video Camera,Touch Interface,Infrared Sensor,Magnetometer,Ambient Light Sensor,USB",Rechargeable Battery,WiFi,Linux,Lifestyle & Industrial
130,GOQii,GOQii Inc,169.00,Worn on the Wrist,"Accelerometer,Clock,OLED Display,Pedometer,Touch Interface,Vibrator",Rechargeable Battery,Bluetooth,Android,Fitness & Lifestyle
131,Sensoria Fitness Socks & Anklet,Heapsylon,199.00,Worn on the Legs & Torso,"Accelerometer,Altimeter,Pressure Sensor",Rechargeable Battery,Bluetooth,iOS,Fitness
132,Smart Garment,Heddoko,,Worn on the Body,Accelerometer,Rechargeable Battery,Bluetooth,iOS,Fitness & Industrial
133,Helo LX,World International,319.00,Worn on the Wrist,"Accelerometer,Gyroscope,Button Interface,Blood Pressure Meter,EKG Sensor,Glucometer,Pedometer,Plethysmograph,Temperature Sensor,Heart Rate Monitor,Oximeter,GPS,PPG Sensor,Thermometer,ECG Sensor",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
134,HereO,HereO,,Worn on the Wrist,"GPS,Clock,Accelerometer",Rechargeable Battery,Cellular Network,Android,Lifestyle
135,Hex,Humon,295.00,Worn on the Legs,Oximeter,Rechargeable Battery,Bluetooth,iOS,Fitness
136,Hexoskin,Carré Technologies,399.00,Worn on the Torso,"Respiratory Monitor,Heart Rate Monitor,Pedometer,ECG Sensor,Accelerometer,Thermometer,Temperature Sensor,EKG Sensor,USB",Rechargeable Battery,Bluetooth,Android,"Fitness, Lifestyle & Industrial"
137,8600 Ring Scanner,Honeywell,684.00,Worn on the Fingers,,External Source,Proprietary,,Industrial
138,Hövding,Hövding,299.00,Worn on the Head,USB,Rechargeable Battery,,Undisclosed,Fitness
139,Vive,HTC,700.00,Worn on the Head,"Camera,Gyroscope,Accelerometer,Laser Position Sensor,OLED Display,USB",External Source,HDMI,OSX,Entertainment & Gaming
