,Device_name,Company,Price,Body_location,Components,Power,Connectivity,Compatibility,Primary_Application
283,Snow2,Recon Instruments,399.00,Worn on the Head,"Accelerometer,Barometer,Clock,LCD Display,GPS,Gyroscope,Magnetometer,Button Interface,USB",Rechargeable Battery,ANT+,Windows,Fitness
284,Checklight,Reebok,149.98,Worn on the Head,"LED Indicator,Accelerometer,USB",Rechargeable Battery,,,Fitness
285,Reemo,Playtabase,,Worn on the Wrist,"Accelerometer,Gyroscope,Magnetometer",Rechargeable Battery,Bluetooth,OSX,Lifestyle
286,Remee,BitBanger Labs,95.00,Worn on the Head,"LED Indicator,Button Interface",Disposable Battery,,,Lifestyle
287,Mimo,Rest Devices,199.00,Worn on the Torso,"Respiratory Monitor,Accelerometer,USB",Rechargeable Battery,WiFi,Android,Lifestyle
288,ReWalk Personal 6.0,ReWalk Robotics,,Worn on the Body,"Motor,Accelerometer,Gyroscope",Rechargeable Battery,,,Medical & Lifestyle
289,SearchGPS,Rip Curl,400.00,Worn on the Wrist,"LCD Display,Button Interface,GPS,Accelerometer,Watch",Rechargeable Battery,Bluetooth,iOS,Lifestyle
290,Ritmo Pregnancy Audio Belt,Ritmo,79.95,Worn on the Body,Audio Jack,Rechargeable Battery,,OSX,Entertainment & Lifestyle
291,Rufus Cuff,Rufus Labs,279.00,Worn on the Wrist,"Microphone,Audio Speaker,Video Camera,Photo Camera,Accelerometer,Touch Interface,GPS,Gyroscope,Vibrator",Rechargeable Battery,Bluetooth,iOS,Industrial
292,Run Scribe Pro,Scribe Labs,149.00,Worn on the Feet,"LED Display,Accelerometer,GPS,Gyroscope",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
293,Safelet,Everfind,99.00,Worn on the Wrist,"Audio Speaker,GPS",Rechargeable Battery,Undisclosed,Undisclosed,Lifestyle
294,Gear,Samsung,299.00,Worn on the Wrist,"OLED Display,Photo Camera,Video Camera,Accelerometer,Gyroscope,Microphone,Audio Speaker,Touch Interface,Clock",Rechargeable Battery,Bluetooth,Android,Entertainment & Lifestyle
295,Gear 2,Samsung,249.00,Worn on the Wrist,"OLED Display,Photo Camera,Video Camera,Accelerometer,Gyroscope,Microphone,Audio Speaker,Touch Interface,Clock",Rechargeable Battery,Bluetooth,,Entertainment & Lifestyle
296,Gear 2 Neo,Samsung,,Worn on the Wrist,"OLED Display,Microphone,Accelerometer,Gyroscope,Audio Speaker,Pedometer,Video Camera,Photo Camera,Clock,Heart Rate Monitor,Vibrator,Touch Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
297,Gear Circle,Samsung,54.00,Worn on the Ear,"Button Interface,Microphone,Vibrator,Audio Speaker,Touch Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle
298,Gear Fit,Samsung,199.00,Worn on the Wrist,"Accelerometer,Gyroscope,Heart Rate Monitor,Touch Interface,Clock",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
299,Gear Fit 2,Samsung,180.00,Worn on the Wrist,"GPS,Heart Rate Monitor,Accelerometer,Gyroscope,Barometer,AMOLED Display",Rechargeable Battery,Bluetooth,Android,Fitness
300,Gear Live,Samsung,199.00,Worn on the Wrist,"Accelerometer,Gyroscope,OLED Display,Microphone,Magnetometer,Heart Rate Monitor,Vibrator",Rechargeable Battery,Bluetooth,Android,Lifestyle
301,Gear S,Samsung,349.99,Worn on the Wrist,"OLED Display,Heart Rate Monitor,GPS,Accelerometer,Magnetometer,Gyroscope,Ambient Light Sensor,Barometer,Touch Interface,Clock",Rechargeable Battery,Cellular Network,Android,Lifestyle & Fitness
302,Gear S2,Samsung,299.00,Worn on the Wrist,"Accelerometer,Gyroscope,Heart Rate Monitor,Barometer,Ambient Light Sensor,GPS",Wireless Charging,NFC,Android,"Entertainment, Fitness & Lifestyle"
303,Gear S3 Classic/Frontier,Samsung,349.00,Worn on the Wrist,"Accelerometer,Gyroscope,Barometer,Heart Rate Monitor,Ambient Light Sensor,GPS",Wireless Charging,Cellular Network,Android,"Entertainment, Fitness & Lifestyle"
304,Gear VR,Samsung,199.00,Worn on the Hand,USB,Rechargeable Battery,,Android,Gaming
305,Sense Pro,SenseCore,800.00,Worn on the Body (Anywhere),"ECG Sensor,Respiratory Monitor,Accelerometer,Thermometer,Temperature Sensor,EKG Sensor",,Undisclosed,Undisclosed,Medical & Fitness
306,SensoGlove,SensoGlove,89.00,Worn on the Hand,"Textile Strain Sensor,USB",Disposable Battery,,Windows,Entertainment
307,Sensus Pain Management System,NeuroMetrix,,Worn on the Legs,,Rechargeable Battery,,,Medical
308,Shot Tracker,Shot Tracker,99.00,Worn on the Arm,,Rechargeable Battery,Undisclosed,iOS,Fitness
309,Smart Cap,Edan Safe Pty Ltd,,Worn on the Head,"GPS,EEG Sensor",Rechargeable Battery,Bluetooth,Undisclosed,Industrial
310,Smart Diaper,Pixie Scientific,39.00,Worn on the Pelvis,,,,,Lifestyle & Medical
311,SMI Eye Tracking Glasses,SensoMotoric Instrument,,Worn on the Head,"Video Camera,Photo Camera,Microphone",Rechargeable Battery,WiFi,Android,Lifestyle & Industrial
312,Biosport,SMS Audio,149.95,Worn on the Head,"Heart Rate Monitor,Microphone,Audio Speaker",External Source,,iOS,Fitness & Lifestyle
313,Synch by 50 On-Ear Wireless,SMS Audio,199.95,Worn on the Head,"Audio Speaker,Microphone,Button Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle
314,Tracks Air,Sol Republic,199.99,Worn on the Head,"Audio Speaker,Microphone",Rechargeable Battery,Bluetooth,Gi-OS,Lifestyle
315,MyoLink,Somaxis,99.00,Worn on the Body (Anywhere),"EEG Sensor,EMG Sensor,ECG Sensor,EKG Sensor",Disposable Battery,Bluetooth,Android,Medical & Lifestyle
316,LiveView™ MN800 Micro Display,Sony,80.00,Worn on the Wrist,"Clock,LCD Display,LED Indicator,Button Interface,Touch Interface",Rechargeable Battery,Bluetooth,Android,Lifestyle
317,Playstation VR,Sony,,Worn on the Head,"OLED Display,Accelerometer,Gyroscope,Audio Speaker,Microphone,USB",External Source,HDMI,Windows,Gaming
318,SmartBand SWR10,Sony,99.99,Worn on the Wrist,USB,Rechargeable Battery,Bluetooth,Undisclosed,Lifestyle & Fitness
319,SmartBand Talk SWR30,Sony,210.00,Worn on the Wrist,"Accelerometer,Altimeter,Microphone,Button Interface,Touch Interface,E-Paper Display,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
320,SmartWatch 2,Sony,98.99,Worn on the Wrist,"LCD Display,Touch Interface,Clock,USB",Rechargeable Battery,NFC,Android,Entertainment & Lifestyle
321,SmartWatch 2,Sony,169.99,Worn on the Wrist,"LCD Display,Touch Interface,Clock,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle
322,SmartWatch 3 SWR50,Sony,249.99,Worn on the Wrist,"LCD Display,Ambient Light Sensor,Accelerometer,Magnetometer,Gyroscope,GPS,Vibrator,Microphone,Button Interface,Touch Interface,USB",Rechargeable Battery,WiFi,Android,Lifestyle & Fitness
323,SoundBite,Sonitus Medical Inc.,,Worn on the Mouth,Bone Conduction Speaker,Rechargeable Battery,WiFi,Undisclosed,Medical
324,Pulse,Sound Brenner,149.00,Worn on the Arm & Legs,"Metronome,LED Display,Vibrator,Touch Interface,Motor",Rechargeable Battery,Bluetooth,iOS,Entertainment
325,Spectacles,Snap Inc,130.00,Worn on the Head,"Video Camera,LED Indicator,Button Interface",Rechargeable Battery,WiFi,iOS,Lifestyle
326,Field Survey Pack,Spectrum XLI,,Worn on the Torso,"GPS,Laser Position Sensor,AC/DC RMS Volt Meter,Sonar Sensor",,Bluetooth,Windows,Industrial
327,Spire,Spire,119.00,Worn on the Body (Anywhere),Respiratory Monitor,Rechargeable Battery,Bluetooth,iOS,Lifestyle
328,Spree Headband,Spree Wearables,130.00,Worn on the Head,"GPS,Accelerometer,Plethysmograph,USB",Rechargeable Battery,Bluetooth,iOS,Fitness
329,Spree SmartCap,Spree Wearables,169.00,Worn on the Head,"Plethysmograph,GPS,Accelerometer,USB",Rechargeable Battery,Bluetooth,iOS,Fitness
330,Baby Monitor,Sproutling,249.00,Worn on the Ankle,"Accelerometer,Thermometer,Heart Rate Monitor,Hygrometer,Ambient Light Sensor,Microphone,Temperature Sensor",Rechargeable Battery,WiFi,iOS,Lifestyle & Medical
331,PowerPod,Sqord Inc,33.50,Worn on the Wrist,Accelerometer,Disposable Battery,WiFi,OSX,Fitness & Lifestyle
332,StarVR,Starbreeze Studios,,Worn on the Head,"OLED Display,Accelerometer,Gyroscope,Audio Speaker,Microphone",External Source,HDMI,Windows,Entertainment & Gaming
333,MAX (Modular Agile eXoskeleton),SuitX,"11,000.00",Worn on the Body,Motor,Rechargeable Battery,Undisclosed,Undisclosed,Industrial
334,Phoenix,SuitX,"40,000.00",Worn on the Body,Motor,Rechargeable Battery,Undisclosed,Android,Medical
335,SunFriend,SunFriend Corporation,49.99,Worn on the Wrist,"Ultraviolet Light Sensor,LED Indicator,Button Interface",,,,Lifestyle & Medical
336,SunSprite Personal Light Tracker,GoodLux Technology LLC,99.99,Worn on the Body (Anywhere),"LED Indicator,Button Interface,Ultraviolet Light Sensor,Visible Light Sensor",Solar Power,Bluetooth,Android,"Lifestyle, Industrial, Medical & Fitness"
337,SurroSense Rx System,Orpyx Medical Technologies,"3,399.00",Worn on the Wrist & Feet,"Pressure Sensor,USB",External Source,WiFi,Windows,Medical & Lifestyle
338,Ambit,Suunto,500.00,Worn on the Wrist,"Barometer,Magnetometer,GPS,LCD Display,Clock,Thermometer,Button Interface,Temperature Sensor,USB",Rechargeable Battery,ANT+,OSX,Fitness & Lifestyle
339,Suunto Ambit2,Suunto,255.00,Worn on the Wrist,"Barometer,GPS,Altimeter,LED Display,Button Interface,Heart Rate Monitor,USB",Rechargeable Battery,ANT+,Undisclosed,Fitness
340,Quest,Suunto,199.00,Worn on the Wrist,"Watch,LED Display,Button Interface",Disposable Battery,Proprietary,iOS,Lifestyle & Fitness
341,"Active, Signature, Rebel",sWaP,99.99,Worn on the Wrist,"Audio Speaker,Clock,FM Tuner,Touch Interface,Video Camera,LCD Display,USB",Disposable Battery,Cellular Network,OSX,Entertainment & Lifestyle
342,Swipe Sense,SwipeSense,,Worn on the Body (Anywhere),,,WiFi,,Medical
343,Activity Trackers,Sync,39.99,Worn on the Body (Anywhere),"Clock,Accelerometer",Disposable Battery,Undisclosed,Android,Fitness
344,Fitness Bands,Sync,50.00,Worn on the Wrist,"Heart Rate Monitor,Clock,Backlight",Disposable Battery,Bluetooth,iOS,Fitness
345,GPS Watches,Sync,79.99,Worn on the Wrist,"GPS,Accelerometer",Disposable Battery,Bluetooth,iOS,Fitness
346,T.Jacket,T.Ware,729.00,Worn on the Torso,,,Bluetooth,iOS,Medical & Lifestyle
347,Tagg,Snaptracs Inc.,99.95,Worn on the Neck,"GPS,Accelerometer",Rechargeable Battery,Undisclosed,OSX,Lifestyle
348,Axon Flex,Taser,499.00,"Worn on the Head, Neck, Shoulders & Torso",Video Camera,Rechargeable Battery,Bluetooth,Windows,Industrial
349,MYO Armband,Thalmic Labs,199.00,Worn on the Arm,"Accelerometer,Gyroscope,Magnetometer,EMG Sensor,Gesture Interface,USB",Rechargeable Battery,Bluetooth,Windows,"Entertainment, Gaming & Lifestyle"
350,The Nymi Band,Nymi,199.00,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Gyroscope,Biometric Authenticator,USB",Rechargeable Battery,NFC,Android,Lifestyle
351,Theatro,Theatro,,Worn on the Waist & Body (Anywhere),"Microphone,Audio Speaker,Button Interface",Rechargeable Battery,WiFi,Android,Industrial
352,Ironman Move x20,Timex,155.00,Worn on the Wrist,"Button Interface,Vibrator,OLED Display,Clock,Accelerometer",Rechargeable Battery,Bluetooth,OSX,Fitness
353,Ironman One GPS+,Timex,499.00,Worn on the Wrist,"GPS,Touch Interface,Button Interface,Vibrator,Mirasol IMOD Display,Clock",Rechargeable Battery,Cellular Network,OSX,Fitness
354,Ironman Run x50,Timex,235.00,Worn on the Wrist,"Button Interface,Vibrator,LCD Display,Clock,Audio Speaker",Rechargeable Battery,Bluetooth,OSX,Fitness
355,Tinitell,Tinitell,149.00,Worn on the Wrist,"GPS,Audio Speaker,Microphone,Accelerometer,LED Indicator",Rechargeable Battery,Cellular Network,iOS,Lifestyle
356,Golf Watch,TLink,99.00,Worn on the Wrist & Body (Anywhere),"Accelerometer,LCD Display,Clock,GPS",Rechargeable Battery,Bluetooth,Android,Fitness
357,3RD Space Vest,TN Games,139.00,Worn on the Torso,USB,External Source,,Windows,Gaming
358,Pro Glasses 2,Tobii Eye Tracking Research,"14,900.00",Worn on the Head,"Gyroscope,Accelerometer",Rechargeable Battery,WiFi,Windows,Industrial
359,Men's Solar Panel Jacket,Tommy Hilfiger,419.99,Worn on the Body,USB,Solar Power,,,Lifestyle
360,Golfer,TomTom,249.99,Worn on the Wrist,"GPS,Watch,Button Interface,USB",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
361,TomTom Runner,TomTom,199.99,Worn on the Wrist,"Heart Rate Monitor,Vibrator,Clock,Accelerometer",Rechargeable Battery,Bluetooth,Android,Lifestyle
362,Trax,Wonder Technology Solutions,199.00,,"Accelerometer,Gyroscope,Magnetometer,GPS",Rechargeable Battery,Cellular Network,Windows,Lifestyle & Pets Animals
363,TRiLOC GPS Locator,TRiLOC,399.99,Worn on the Wrist,"Clock,Audio Speaker,Microphone,GPS",Rechargeable Battery,Cellular Network,None,Lifestyle
364,TwoNav Ultra,CompeGPS,329.75,Worn on the Wrist,"LCD Display,Touch Interface,GPS,Magnetometer,Barometer,Button Interface,USB",Rechargeable Battery,Bluetooth,,Fitness
365,Enviro-Tracker,TZOA,139.00,Worn on the Body (Anywhere),"Particulate Matter Sensor,Ultraviolet Light Sensor,Ambient Light Sensor,Thermometer,Humidity Sensor,Temperature Sensor,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle & Medical
366,Elite,UltrOZ,"1,295.00",Worn on the Body (Anywhere),,Rechargeable Battery,,,Medical & Pets Animals
367,Kanega,Unaliwear,299.00,Worn on the Wrist,"GPS,Accelerometer,Audio Speaker",Rechargeable Battery,Bluetooth,,Medical
368,Armour39 Module and Chest Strap,"Under Armour, Inc.",149.00,Worn on the Chest,Heart Rate Monitor,Disposable Battery,Bluetooth,iOS,Fitness
369,Armour39 Watch,"Under Armour, Inc.",199.00,Worn on the Wrist,"LCD Display,Clock",Disposable Battery,Bluetooth,iOS,Fitness & Lifestyle
370,Uno Noteband,Uno Noteband,129.00,Worn on the Wrist,"Gyroscope,Accelerometer,OLED Display,Vibrator",Rechargeable Battery,Bluetooth,iOS,Lifestyle
371,V. ALRT,VSN Mobile,59.99,Worn on the Wrist & Body (Anywhere),Button Interface,Disposable Battery,Bluetooth,iOS,Lifestyle
372,Valedo,Hocoma,300.00,Worn on the Chest & Waist,"Accelerometer,Gyroscope,Magnetometer",Rechargeable Battery,Bluetooth,Android,Fitness
373,VECTOR LUNA,Vector,249.00,Worn on the Wrist,"Accelerometer,Vibrator,Water Resistant",Rechargeable Battery,Bluetooth,Windows,Lifestyle
374,Vigo,Vigo,79.00,Worn on the Head,"Infrared Sensor,Accelerometer,Gyroscope,Vibrator,Ambient Light Sensor",Rechargeable Battery,Bluetooth,iOS,Lifestyle & Industrial
375,VinCense WHMS,MedIoTek Health Systems P Ltd.,240.00,Worn on the Wrist,"Button Interface,Heart Rate Monitor,Infrared Sensor,Oximeter,Thermometer,Temperature Sensor",Disposable Battery,Bluetooth,Android,Medical
376,Visi Mobile,Sotera Wireless,,Worn on the Wrist,"Oximeter,OLED Display,Touch Interface,Blood Pressure Meter,ECG Sensor,EKG Sensor",Rechargeable Battery,WiFi,Windows,Medical
377,Vitalacy Wristband,Vitalacy,,Worn on the Wrist,"Accelerometer,Vibrator,Clock",Rechargeable Battery,Bluetooth,,Medical
378,D1,Voice Caddie,169.99,Worn on the Waist,"GPS,Button Interface,LCD Display,Audio Speaker,Backlight,USB",Rechargeable Battery,,,Fitness
379,T1 Hybrid Golf GPS Watch,Voice Caddie,128.00,Worn on the Wrist,"Watch,Button Interface,GPS,LCD Display",Rechargeable Battery,,,Entertainment
380,VC100,Voice Caddie,79.99,Worn on the Body (Anywhere),"GPS,Button Interface,LED Indicator,Audio Speaker,USB",Rechargeable Battery,,,Fitness
381,VC200,Voice Caddie,99.99,Worn on the Body (Anywhere),"GPS,Button Interface,LED Indicator,Audio Speaker,USB",Rechargeable Battery,,,Fitness
382,VC300,Voice Caddie,129.99,Worn on the Body (Anywhere),"GPS,Touch Interface,LED Indicator,Audio Speaker,USB",Rechargeable Battery,,,Fitness
383,Voyce Dog Monitor,Voyce,199.00,Worn on the Neck,"Accelerometer,Respiratory Monitor,Heart Rate Monitor,Thermometer,Temperature Sensor",Rechargeable Battery,WiFi,OSX,Pets Animals
384,1200DX,Vuzix,499.99,Worn on the Head,"LCD Display,Audio Speaker,USB",Rechargeable Battery,HDMI,Linux,"Industrial, Entertainment & Gaming"
385,1200DX-AR,Vuzix,"1,499.99",Worn on the Head,"LCD Display,Audio Speaker,Accelerometer,Magnetometer,Gyroscope,USB",Rechargeable Battery,HDMI,Linux,Industrial
386,1200DX-VR,Vuzix,599.99,Worn on the Head,"LCD Display,Audio Speaker,Accelerometer,Magnetometer,Gyroscope,USB",Rechargeable Battery,HDMI,Linux,"Industrial, Entertainment & Gaming"
387,AR3000,Vuzix,,Worn on the Head,"Touch Interface,Camera,Gesture Interface,Magnetometer,Gyroscope,Accelerometer,Microphone,Holographic Waveguide Display",Rechargeable Battery,Bluetooth,iOS,Industrial & Medical
388,Blade 3000,Vuzix,,Worn on the Head,"Photo Camera,Video Camera,Voice Actions,Vibrator,USB",Rechargeable Battery,Bluetooth,iOS,Industrial & Medical
389,M100,Vuzix,999.99,Worn on the Head,"Button Interface,Accelerometer,Ambient Light Sensor,Infrared Sensor,Gyroscope,Magnetometer,Audio Speaker,Microphone,Photo Camera,Video Camera,Clock,USB",Rechargeable Battery,Bluetooth,iOS,Industrial & Lifestyle
390,M2000AR,Vuzix,"5,999.00",Worn on the Head,"Accelerometer,Gyroscope,Magnetometer,Video Camera,Photo Camera,Button Interface,DLP Display,USB",Rechargeable Battery,HDMI,Windows,Industrial
391,M300 Smart Glasses,Vuzix,499.00,Worn on the Head,"Audio Speaker,Camera,GPS,Accelerometer,Gyroscope,Voice Actions,Magnetometer,USB",External Source,WiFi,iOS,Industrial & Medical
392,M3000 Smart Glasses,Vuzix,,Worn on the Head,"Gyroscope,Accelerometer,Camera,Video Camera,Voice Actions,GPS,Magnetometer",Disposable Battery,WiFi,iOS,Industrial & Medical
393,Tickr Heart Rate Monitor,Wahoo Fitness,49.99,Worn on the Chest,Heart Rate Monitor,Disposable Battery,Bluetooth,Android,Fitness
394,Run Workout Tracker,Wahoo Fitness,79.99,Worn on the Chest,"Heart Rate Monitor,Accelerometer",Disposable Battery,Bluetooth,Android,Fitness
395,Tickr X Workout Tracker,Wahoo Fitness,99.99,Worn on the Chest,"Heart Rate Monitor,Accelerometer",Disposable Battery,Bluetooth,Android,Fitness
396,Smart Watch,WearIT,,Worn on the Wrist,"GPS,LCD Display,Touch Interface,Accelerometer,Magnetometer,Pedometer,Buzzer,Clock,USB",Rechargeable Battery,RFID,Android,Fitness
397,Wellograph,"Wellograph Co., Ltd.",320.00,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Gyroscope,Magnetometer,LCD Display,Button Interface,Clock,USB",Rechargeable Battery,Bluetooth,Android,Lifestyle & Fitness
398,Whistle,Whistle,129.95,Worn on the Neck,GPS,Rechargeable Battery,Bluetooth,Android,Pets Animals
399,WHOOP Strap 2.0,WHOOP,500.00,Worn on the Wrist,"Heart Rate Monitor,Accelerometer,Touch Interface,Temperature Sensor,Thermometer",Rechargeable Battery,Bluetooth,iOS,Fitness
400,Duchess,Socialite,295.00,Worn on the Wrist,"Accelerometer,GPS,Pedometer,Vibrator,Touch Interface",Rechargeable Battery,WiFi,iOS,Lifestyle
401,Activité,Withings,450.00,Worn on the Wrist,"Clock,Button Interface,Accelerometer,Ambient Light Sensor",Disposable Battery,Bluetooth,Android,Lifestyle & Fitness
402,Activité Pop,Withings,149.95,Worn on the Wrist,"Accelerometer,Vibrator,Ambient Light Sensor,Clock",Disposable Battery,Bluetooth,iOS,Fitness & Lifestyle
403,Blood Pressure Monitor,Withings,129.95,Worn on the Arm,"Heart Rate Monitor,Blood Pressure Meter",Disposable Battery,Proprietary,iOS,"Fitness, Lifestyle & Medical"
404,Pulse,Withings,99.00,Worn on the Wrist & Chest,"OLED Display,Touch Interface,Heart Rate Monitor,Clock",Rechargeable Battery,Bluetooth,Android,Fitness & Medical
405,WT4000,Motorola Soultions,"2,598.00",Worn on the Arm,"Button Interface,LCD Display,Microphone,USB",Rechargeable Battery,WiFi,Windows,Industrial
406,Xensr Air,Xensr,195.00,Worn on the Body (Anywhere),"GPS,Accelerometer,Gyroscope,Magnetometer",Rechargeable Battery,Bluetooth,Android,Fitness
407,MI Band 2,Xiaomi,23.00,Worn on the Wrist,"Accelerometer,Barometer,OLED Display,Heart Rate Monitor,Vibrator,Touch Interface",Rechargeable Battery,Bluetooth,iOS,Fitness & Lifestyle
408,XMetrics Pro,XMetrics,299.99,Worn on the Head,"Accelerometer,Gyroscope,Magnetometer,USB",Rechargeable Battery,Bluetooth,Android,Fitness
409,MVN,Xsens,,Worn on the Body,"Accelerometer,Gyroscope",Rechargeable Battery,Radio Frequency,Windows,Entertainment
410,Achillex,Xybermind,"1,400.00",Worn on the Torso & Feet,USB,Rechargeable Battery,,Windows,Fitness & Medical
411,Zeblaze Blitz,Zeblaze,110.00,Worn on the Wrist,"Accelerometer,Gyroscope,Pedometer,GPS,Heart Rate Monitor,Vibrator,Pressure Sensor,Microphone",Rechargeable Battery,Cellular Network,iOS,Fitness
412,Zebra Dart Tag,Zebra Technologies,,Worn on the Body (Anywhere),,CR2025 Coin Cell,WiFi,Undisclosed,Industrial
413,HS2100 Rugged Corded Headset,Zebra,169.60,Worn on the Head,"Noise Suppression,Water Resistant,Audio Jack,Voice Actions,Voice Interface,Audio Jack,Noise Suppression",No Power Required,,,Industrial
414,HS3100 Rugged Headset,Zebra,291.30,Worn on the Head,"Noise Suppression,Water Resistant,Voice Actions,Voice Interface,Noise Suppression",Rechargeable Battery,NFC,Android,Industrial
415,RS4000 1D Corded Ring Scanner,Zebra,696.31,Worn on the Fingers,"Barcode Scanner,Accelerometer,Gyroscope",Rechargeable Battery,NFC,Android,Industrial
416,RS6000 BLUETOOTH RING SCANNER,Zebra,"1,250.00",Worn on the Fingers,"Barcode Scanner,Accelerometer,Gyroscope",Rechargeable Battery,NFC,Android,Industrial
417,WT6000 Wearable Computer,Zebra,"2,456.00",Worn on the Wrist,"Clock,Audio Speaker,Microphone,Touch Interface,LCD Display,Gyroscope,Accelerometer,USB",Rechargeable Battery,WiFi,Android,Industrial
418,RCH51 RUGGED CABLED HEADSET,Zebra,,Worn on the Head,"Audio Jack,Noise Suppression,Voice Interface,Voice Actions,Water Resistant,Audio Jack,Noise Suppression",No Power Required,,Windows,Industrial
419,Zephry Shirt,Medtronic,155.00,Worn on the Body (Anywhere),"Heart Rate Monitor,Respiratory Monitor,Accelerometer,Gyroscope,GPS,Blood Pressure Meter,Pulse Oximetry,ECG Sensor,Temperature Sensor,Fire Resistant,EKG Sensor,Thermometer",Rechargeable Battery,Gateway,Windows,Fitness
420,Zepp Baseball/Golf/Tennis,Zepp,149.99,Worn on the Wrist,"Accelerometer,Gyroscope,USB",Rechargeable Battery,Bluetooth,iOS,Fitness
421,ZGPAX S5,ZGPAX,119.00,Worn on the Wrist,"Accelerometer,Magnetometer,Gyroscope,GPS,Touch Interface,LCD Display,Button Interface,Ambient Light Sensor,Video Camera,Microphone,Audio Speaker,Vibrator,Clock,USB",Rechargeable Battery,Bluetooth,iOS,Lifestyle
422,Zio XT Patch,iRhythm,,Worn on the Body (Anywhere),"ECG Sensor,EKG Sensor",Rechargeable Battery,Bluetooth,OSX,Medical
423,Zoll LifeVest,Zoll Medical Corporation,,Worn on the Chest,"ECG Sensor,Defibrillator,EKG Sensor",Rechargeable Battery,Undisclosed,Windows,Medical
424,Zypad WL1500,EuroTech,,Worn on the Wrist,"GPS,Accelerometer,Touch Interface,QVGA Display,Button Interface,Microphone,Audio Speaker,Barcode Scanner,USB",Rechargeable Battery,Cellular Network,Windows,Industrial
425,Phone,Phone Company, 400, Hand,"GPS,Accelerometer,Touch Interface,QVGA Display,Button Interface,Microphone,Audio Speaker,Barcode Scanner,USB,Accelerometer,Temperature Sensor,Noise Suppression,WiFi,Camera",Rechargeable Battery, WiFi,iOS&Android, All
